date,user_id,comment,rating
2019-08-13,43491174,全员集结是二十周年的惊喜！不管是打斗场面还是各角色的出现，实在是太戳了！从少年到青年，   唯一不变的还是他们！！！！我墙裂推荐！！！！希望国内能引进！！！这样回国还能再看一遍！！！！,5.0
2019-12-22,p-asuka,毕竟wt没有参与 op官方和东映那个死尿性就是圈钱圈得毫无诚意 ！！ 一锅大乱炖 剧情垃圾既视感  ... 一切都为了wt爸爸和我家男神 不然咧？,3.0
2019-08-26,Loganandvictor,彩蛋最多的一部剧场版，个人觉得剧情还是没有Z好，但是视觉冲击很强，和z并列第二吧（强者世界第一）,5.0
2019-08-14,yukicl,从看预告片就觉得会是一部非常无聊的电影，这种全明星电影明摆着是没梗了才做的，但是实际上竟然比我想象得还要难看二十亿倍，套路太浅槽点太多了看得我又翻白眼又打哈欠又想快进又叹气无数次想起身走了……真的够了不想看喜欢的作品自己糟蹋自己…… 那宝箱里的东西用后脑勺想也知道路飞不需要,1.0
2019-08-25,102766270,"这新剧场版真的傻逼
巴雷特前期那么屌就这么开开玩笑地输了？
路飞不愧是主角前期有最恶全体助攻加持都打不过后期残血还缺蓝的情况下单挑把巴雷特干了？
烟男这菜比强行变一线了？
鹰眼装完逼是不是找个地喝小酒去了？
藤虎特么这么多自己人在扔个陨石下来干什么 脑子呢 正义呢？
强行煽情 强行玩套路 
最后不忘消费下艾斯好棒棒哦",2.0
2019-08-14,new4new4,燃就完事儿，最恶世代海军本部七武海革命军各种新老熟脸集结从头打到尾，一场非常契合二十周年纪念的嘉年华大乱斗。最后萨博（艾斯）为千阳号护航，旁边带孩子来的日本老哥直接飙泪，太太太太太感人了！！！另外推荐正在大阪USJ上映的OP PREMIER SHOW，是万博剧场版的前传，也很好看。8.14@Namba City Cinema,5.0
2019-08-27,10345879,史上最强电影版，人真的齐，齐人就开饭那种齐，齐到那么多响当当的名号也只得机会发一招，好久没见的好多角色也前来露脸，情怀满满，粉丝得到极大满足的一部,4.0
2019-10-19,zhanghonger,革命军翻译成正义联盟，可以的,4.0
2019-10-19,Duansiyu_1996,依旧是“日漫白痴”的知识盲区，仅仅是凑个热闹。,3.0
2019-09-01,qi-shao-shang,从头到尾打了个爽！！！全程可以无脑看下来。除了四皇，最强战力几乎都登场了，连隐居的鹰眼都出来刷了一波存在感。女帝也是久违了，还看到了她的主动攻击。（虽然并没有派上什么用场，但）合体技她还是不可或缺的一环。新时代海贼团跟不要钱一样都安排上了，再加上搞笑担当巴基和巴托洛米奧，热热闹闹很有祭り的气氛。可惜的是角色太多，草帽海贼团这边出场时间就被挤压了，除了路飞挑boss其他人戏都不多。尤其熏疼索隆，上映前导演信誓旦旦表示他戏份很重要，结果就给我看这个？boss设定不错，一根儿筋变态强，轮船吞噬果实能力拥有者。第一形态高达机器人，第二形态3D哥斯拉（？），两个造型一出来差点笑死。总之很爽很开心，希望国内尽早引进。,4.0
2019-08-09,KaiShinKei,这部电影本身就是个海贼万博般的盛宴。省去了过渡铺垫的内容，真是从头打到尾，各种团战混战，对应了标题，演出也很用心。最恶世代群战boss这段过于好看，虽然完全怼不过。真正最后怼boss的除了老沙都在尾田手绘海报上了（当然了，有个摸鱼的），这部分智斗也很精彩！（老沙也想有姓名，老沙挺关键的。）乌索普也立功了，他们即将组成新的英雄团体，路飞的修罗场联盟！（不对,5.0
,iriselite,打斗太激烈了，昨晚到现在只睡了四个多小时，结果最厉害的打斗那段我睡着了。只要看海贼王就有好心情，足够了。,用户未评分
2019-10-19,Len.,有谁在一起数熊猫人彩蛋……最后是真·回忆杀,4.0
2019-08-12,natsukitohno,好燃 然而对很久不看op的人很不友好了 很难掌握人物关系 所以减的这一星是给我自己的w 至于小莉的那个龙套角色 其实还是蛮重要的 声优小莉的小细嗓 可爱(*⁰▿⁰*),4.0
2019-10-20,last-bible,加洛特呢？甚平呢？,3.0
2019-10-17,42966411,我就问你是不是在侮辱我的智商？海贼王之所以如此有魅力，来自于他强大的价值观，每一个人的人设之外多面性的人格。而不是，来呀，来打架啊，我是最强，我有大拳头，路飞就大大大拳头，打着打着再来个扎心，趁对方会心一击，完。完全无视粉丝智商的粉丝电影，嗨就完了，所有人物人设面狂燃。一点儿层次都没有。,1.0
2019-10-18,sleepinthetree,粉丝电影。其实剧场版就是为了圈钱，即便有着20周年的名头，也只是为了圈更多的钱。但我（粉丝）乐意啊！所幸不枯燥，打个痛快。虽然突变机器人和玄幻型怪物让我出戏，最后巴雷特和路飞互殴的场面才回过神。还有航海家的翻译是在嘲讽。因为海军为什么要抓捕航海家呢！总之，热血时代最后的闪光，海贼王万岁！！！,4.0
2019-10-17,151443949,梅丽号一家亲 路飞：😁香吉士：😍  娜美：😜 索隆：😐 乌索普：😱 乔巴：☺️  罗宾：😏弗兰奇：😭 布鲁克：💀,5.0
2019-10-19,jinduoduo,你所喜欢的人气角色都有出场🌟罗每次都有目标有计划，可惜就是没有人听他的wwwwww气到胸闷,5.0
2019-08-12,richion,总觉得看的很审美疲劳.剧情太简单.一路打打打..感觉再玩啥大乱斗的游戏...,2.0
